Indicator,Country,2016,2017,2018,2019,2020
CO2 emissions (kt),Ireland,39009.8,37729.1,37473.6,35812.2,33742.2
CO2 emissions (kt),Isle of Man,..,..,..,..,..
CO2 emissions (kt),Israel,65233,65906.3,61424.5,62796.3,58471.8
CO2 emissions (kt),Italy,333344.8,329193.3,324884.2,317223,281286.8
CO2 emissions (kt),Jamaica,7549.5,7225,8589,8394.3,5835.6
CO2 emissions (kt),Japan,1164869.4,1150835,1111115.3,1073645.3,1014064.7
CO2 emissions (kt),Jordan,24730,26021.8,24710,23147.9,20974.1
CO2 emissions (kt),Kazakhstan,202475.7,214897.7,216896.7,204592.2,211896.7
CO2 emissions (kt),Kenya,19310.1,20097.2,19253.9,19481.9,19446.8
CO2 emissions (kt),Kiribati,56.7,72.7,73.2,73.6,56.9
CO2 emissions (kt),"Korea, Dem. People's Rep.",28127.7,54286,50121.3,55548.4,52437.2
CO2 emissions (kt),"Korea, Rep.",615443.6,626178.4,630186.6,612133.7,569681.8
CO2 emissions (kt),Kosovo,..,..,..,..,..
CO2 emissions (kt),Kuwait,91376.2,90378.3,92652.1,93863.6,92308.9
CO2 emissions (kt),Kyrgyz Republic,9675.6,9439,11306.8,10017.4,9080.1
CO2 emissions (kt),Lao PDR,15702.2,19054.5,19663.8,19170.9,19178.9
CO2 emissions (kt),Latvia,7145.3,7116.7,7785.2,7569.1,6928.3
CO2 emissions (kt),Lebanon,27755.1,29170.9,27401.3,26916.5,21474.9
CO2 emissions (kt),Lesotho,2126.2,2402.3,2276.6,2300.1,2311.9
CO2 emissions (kt),Liberia,1397.89,1268.4,1126.6,1146.2,1179.5
CO2 emissions (kt),Libya,48694.8,52095.1,54100.1,54692.7,44467
CO2 emissions (kt),Liechtenstein,149.838256,155.769397,142.950403,149.025716,141.996093
CO2 emissions (kt),Lithuania,11203.1,11222.2,11652.5,11735.8,11693.8
CO2 emissions (kt),Luxembourg,8845.9,9006.5,9320.8,9500.3,7853.1
CO2 emissions (kt),"Macao SAR, China",..,..,..,..,..
CO2 emissions (kt),Madagascar,3181.72,3481,3304.87,3927.7,2745.45
CO2 emissions (kt),Malawi,1223.57,1394.6,1609.4,1643.7,1640
CO2 emissions (kt),Malaysia,231669.4,225104.1,241451.4,244882,245139.3
CO2 emissions (kt),Maldives,1465.9,1546.1,1776.1,1999.5,1454
CO2 emissions (kt),Mali,3408.6,3629.8,3867.9,3937.4,4150.7
CO2 emissions (kt),Malta,1352.3,1521.2,1552.5,1658.6,1610.7
CO2 emissions (kt),Marshall Islands,146.5,149.3,151.1,152.3,110
CO2 emissions (kt),Mauritania,2584.2,3408.3,3716.1,3824.8,3847.1
CO2 emissions (kt),Mauritius,4035.5,4174.4,4133.9,4173.7,3720.2
CO2 emissions (kt),Mexico,476394.6,474498.5,444898.4,451828.8,383131.4
CO2 emissions (kt),"Micronesia, Fed. Sts.",147.1,146.7,147.8,148.2,107.5
CO2 emissions (kt),Moldova,8143,8064,8555.9,8921.6,8611.2
CO2 emissions (kt),Monaco,..,..,..,..,..
CO2 emissions (kt),Mongolia,18172.8,19575.5,21545.7,23146.9,21184.7
CO2 emissions (kt),Montenegro,2150.7,2267,2500.3,2601.1,2527.2
CO2 emissions (kt),Morocco,60289.9,63014.9,64286.1,70986.3,66719.5
CO2 emissions (kt),Mozambique,7243.8,7162.3,6875.1,7530.2,6945.5
CO2 emissions (kt),Myanmar,21860.8,32497,32784.5,33995,33874.6
CO2 emissions (kt),Namibia,4152,4224,4279.3,4316.3,3952.8
CO2 emissions (kt),Nauru,52.7,56,54,53.4,41.4
CO2 emissions (kt),Nepal,10735.7,13265.3,15139.4,13860.5,14949.2
CO2 emissions (kt),Netherlands,158499.3,155710.9,151382.3,145939.237,130315.1
CO2 emissions (kt),New Caledonia,..,..,..,..,..
CO2 emissions (kt),New Zealand,31185.7,32927.4,32409,34008.2,31359.7
CO2 emissions (kt),Nicaragua,5410.7,5428.9,5024.8,5131.9,4582.2
CO2 emissions (kt),Niger,2096.26,1901,1956.29,2159.15,2197.95
CO2 emissions (kt),Nigeria,110817.5,108481.2,113633.1,119544.1,111978.1
CO2 emissions (kt),North Macedonia,6962.7,7436.2,6950.6,7956.1,6796.7
CO2 emissions (kt),Northern Mariana Islands,..,..,..,..,..
CO2 emissions (kt),Norway,39578.4,39174.9,38571.5,37661.6,36177.4
CO2 emissions (kt),Oman,72197.6,71633.2,75365,75744.8,71041.5
CO2 emissions (kt),Pakistan,181113.3,198738.8,186865.6,184096.3,184111.2
CO2 emissions (kt),Palau,207.9,213,211.9,217.4,158.2
CO2 emissions (kt),Panama,10652.4,10136.4,9918.8,13099.9,9582.7
CO2 emissions (kt),Papua New Guinea,6560.9,6504.3,7114,7467.5,5491.5
CO2 emissions (kt),Paraguay,7192.6,7920.9,8360.1,8101.6,7575.7
CO2 emissions (kt),Peru,56860.3,54274.3,54589.9,56972.2,46578.9
CO2 emissions (kt),Philippines,120895.1,133456.7,139119.1,145871.3,133471.3
CO2 emissions (kt),Poland,299802.4,312769.9,311754.9,294948.3,279223.8
CO2 emissions (kt),Portugal,48695.2,53272.7,49461.2,44564.7,38973.5
CO2 emissions (kt),Puerto Rico,..,..,..,..,..
CO2 emissions (kt),Qatar,87066.7,87472.1,87099.4,89486.8,87578.3
CO2 emissions (kt),Romania,71585.2,74208.1,75190.2,73942.8,68664
CO2 emissions (kt),Russian Federation,1571517.3,1594550.3,1661000,1703588.7,1618271
CO2 emissions (kt),Rwanda,1148,1255.5,1403.4,1451.1,1382
CO2 emissions (kt),Samoa,246.7,255.2,248.7,278.7,206.5
CO2 emissions (kt),San Marino,..,..,..,..,..
CO2 emissions (kt),Sao Tome and Principe,128.7,134.4,137.5,140.2,141.1
CO2 emissions (kt),Saudi Arabia,561229.7,549749.9,527565.7,526770.3,513555.8
CO2 emissions (kt),Senegal,10132.8,9800.8,10176.6,12297.8,10680.2
CO2 emissions (kt),Serbia,46635,47342.6,46192.4,46030.1,46324.3
CO2 emissions (kt),Seychelles,565.6,570.7,602.3,595.3,598.7
CO2 emissions (kt),Sierra Leone,1170.8,1120,1043.7,1038.8,1048
CO2 emissions (kt),Singapore,44969.8,47324.2,45212.1,45163.2,43705
CO2 emissions (kt),Sint Maarten (Dutch part),..,..,..,..,..
CO2 emissions (kt),Slovak Republic,31497.8,33576.5,33005.1,31032.5,29035.8
CO2 emissions (kt),Slovenia,13903,14123.7,14072.9,13665,12477.3
CO2 emissions (kt),Solomon Islands,298.1,295,300.9,304.8,223.3
CO2 emissions (kt),Somalia,654.4,654.9,656.1,655.7,660.4
CO2 emissions (kt),South Africa,425682.9,435214.5,439644.6,446626,393241.6
CO2 emissions (kt),South Sudan,1730.2,1512.1,1768.9,1824.6,1742.7
CO2 emissions (kt),Spain,248252.1,264723.7,258373.2,241886.5,202705.8
CO2 emissions (kt),Sri Lanka,23167.6,23140.5,21690.3,23427.9,21846.3
CO2 emissions (kt),St. Kitts and Nevis,244.6,243,245.2,247.5,231
CO2 emissions (kt),St. Lucia,505.5,530.9,527.9,534.6,499.2
CO2 emissions (kt),St. Martin (French part),..,..,..,..,..
CO2 emissions (kt),St. Vincent and the Grenadines,255.2,225.1,252.3,235.1,219.8
CO2 emissions (kt),Sudan,21503.1,21579.5,21670.3,22131.5,20796.1
CO2 emissions (kt),Suriname,2954.886,2444.33,2146.53,2656.82,2601.32
CO2 emissions (kt),Sweden,38691.2,38168.2,35915.9,34964.6,33576.1
CO2 emissions (kt),Switzerland,39666.5,38699,37481.3,37376.3,34916.1
CO2 emissions (kt),Syrian Arab Republic,24479.1,25794.4,28303.1,26840.4,25234.6
CO2 emissions (kt),Tajikistan,5496.7,6757.7,8097.3,8965.7,9328.8
CO2 emissions (kt),Tanzania,10646.9,11659.3,12018.9,14960.8,14435.5
CO2 emissions (kt),Thailand,267916.3,267137.1,264483.6,274466.7,265478.9
CO2 emissions (kt),Timor-Leste,518.9,561.8,510.1,617.6,446.1
CO2 emissions (kt),Togo,2305.6,2018.7,2189.9,2442.3,2415.1
CO2 emissions (kt),Tonga,123.9,132.9,134.2,161.5,118.1
CO2 emissions (kt),Trinidad and Tobago,18291.6,18224.7,17763.7,17195.3,15420
CO2 emissions (kt),Tunisia,30317.8,30742.6,31023.1,31045,29293
CO2 emissions (kt),Turkiye,376399,418098.2,414111.9,398772.9,407406.2
CO2 emissions (kt),Turkmenistan,64079.5,63871.6,63317.6,63231.8,63655
CO2 emissions (kt),Turks and Caicos Islands,..,..,..,..,..
CO2 emissions (kt),Tuvalu,7.5,7.7,8.8,8.9,6.6
CO2 emissions (kt),Uganda,4946.3,5172,5866.6,5943,5674.6
CO2 emissions (kt),Ukraine,201655.4,174938.3,185623.8,174599.9,165663.6
CO2 emissions (kt),United Arab Emirates,200398.5,191935,174220.3,185645.7,188088.7
CO2 emissions (kt),United Kingdom,382154.9,366844.1,360555.9,345934.3,308650.3
CO2 emissions (kt),United States,4894499.2,4819365.1,4975300.4,4817710.4,4320532.5
CO2 emissions (kt),Uruguay,6525.1,6103.8,6545.7,6806.7,6514.3
CO2 emissions (kt),Uzbekistan,105333.9,109708.5,112720.5,117687.8,115577.8
CO2 emissions (kt),Vanuatu,151.3,141,177.5,166.9,121.3
CO2 emissions (kt),"Venezuela, RB",150466.7,139787.4,130158,107502.3,72509
CO2 emissions (kt),Viet Nam,222028.5,229877.4,286139.3,341716.8,355323.1
CO2 emissions (kt),Virgin Islands (U.S.),..,..,..,..,..
CO2 emissions (kt),West Bank and Gaza,..,..,..,..,..
CO2 emissions (kt),"Yemen, Rep.",10035.2,9682.2,11349.8,11194.8,9960.1
CO2 emissions (kt),Zambia,5315.3,6810.7,7857.2,7615.7,7607.1
CO2 emissions (kt),Zimbabwe,10450.2,9781,11069.9,10185.3,8312.5
Forest area (% of land area),Afghanistan,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994
Forest area (% of land area),Albania,28.80218978,28.79206204,28.7919708,28.7919708,28.7919708
Forest area (% of land area),Algeria,0.821247986,0.815789794,0.810331602,0.81411035,0.81830896
Forest area (% of land area),American Samoa,86.25,86.1,85.95,85.8,85.65
Forest area (% of land area),Andorra,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319
Forest area (% of land area),Angola,55.20784471,54.76262934,54.31740595,53.87217454,53.42695115
Forest area (% of land area),Antigua and Barbuda,19.04545455,18.90909091,18.75,18.59090909,18.45454545
Forest area (% of land area),Argentina,10.60039683,10.55983688,10.52037315,10.48017861,10.44071488
Forest area (% of land area),Armenia,11.56691254,11.55953635,11.55216017,11.54478398,11.5374078
Forest area (% of land area),Aruba,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333
Forest area (% of land area),Australia,17.42548771,17.42291362,17.42131456,17.42131456,17.42131456
Forest area (% of land area),Austria,47.07695104,47.12045565,47.16396025,47.20746486,47.25096946
Forest area (% of land area),Azerbaijan,13.15441152,13.27314606,13.41393036,13.55336705,13.69418968
Forest area (% of land area),"Bahamas, The",50.93506494,50.93506494,50.93506494,50.93506494,50.93506494
Forest area (% of land area),Bahrain,0.795892169,0.820512821,0.848329049,0.871794872,0.891719745
Forest area (% of land area),Bangladesh,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161
Forest area (% of land area),Barbados,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279
Forest area (% of land area),Belarus,42.90696987,42.97840266,43.05153217,43.12615476,43.19440339
Forest area (% of land area),Belgium,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079
Forest area (% of land area),Belize,57.94300745,57.45374836,56.96492766,56.47566857,55.98640947
Forest area (% of land area),Benin,29.57742107,29.13400142,28.69058177,28.24716211,27.80374246
Forest area (% of land area),Bermuda,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852
Forest area (% of land area),Bhutan,71.23427013,71.28617869,71.34556896,71.39748296,71.44939696
Forest area (% of land area),Bolivia,47.77132835,47.53274255,47.31213884,47.10953568,46.92491461
Forest area (% of land area),Bosnia and Herzegovina,42.50996094,42.73261719,42.73261719,42.73261719,42.73261719
Forest area (% of land area),Botswana,27.75201595,27.54327458,27.3345332,27.12579182,26.91705045
Forest area (% of land area),Brazil,60.07103255,59.83288148,59.70842795,59.55852618,59.41747805
Forest area (% of land area),British Virgin Islands,24.13333333,24.13333333,24.13333333,24.13333333,24.13333333
Forest area (% of land area),Brunei Darussalam,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186
Forest area (% of land area),Bulgaria,35.38135593,35.50110538,35.62085483,35.74060427,35.86035372
Forest area (% of land area),Burkina Faso,23.45175439,23.26900585,23.08625731,22.90350877,22.72076023
Forest area (% of land area),Burundi,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081
Forest area (% of land area),Cabo Verde,11.0471464,11.12158809,11.19602978,11.27047146,11.34491315
Forest area (% of land area),Cambodia,49.2359506,48.35395423,47.47195785,46.58996148,45.7079651
Forest area (% of land area),Cameroon,43.50337416,43.38490829,43.26644243,43.14797656,43.02951069
Forest area (% of land area),Canada,38.71201338,38.7078876,38.70376294,38.69963717,38.69551251
Forest area (% of land area),Cayman Islands,53,53,53.375,53,53
Forest area (% of land area),Central African Republic,35.9931298,35.94497416,35.89681852,35.84866288,35.80050724
Forest area (% of land area),Chad,3.787325286,3.693614994,3.601493011,3.511753494,3.425190597
Forest area (% of land area),Channel Islands,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152
Forest area (% of land area),Chile,23.83086404,23.99619653,24.16152903,24.32686152,24.49215367
Forest area (% of land area),China,22.63049793,22.83070681,23.03091218,23.23111754,23.4313229
Forest area (% of land area),Colombia,54.04190176,53.84386661,53.66424516,53.48463272,53.30501127
Forest area (% of land area),Comoros,18.62976894,18.39333692,18.16227834,17.92584632,17.68941429
Forest area (% of land area),"Congo, Dem. Rep.",57.59058689,57.10477052,56.61894974,56.13312896,55.64731259
Forest area (% of land area),"Congo, Rep.",64.43045388,64.39531479,64.35139092,64.30746706,64.26354319
Forest area (% of land area),Costa Rica,58.15511163,58.47571485,58.79612221,59.11672542,59.43732863
Forest area (% of land area),Cote d'Ivoire,10.34044025,9.985440252,9.630440252,9.275471698,8.920471698
Forest area (% of land area),Croatia,34.38139161,34.51519548,34.55989565,34.60456722,34.65171551
Forest area (% of land area),Cuba,31.1514802,31.23314066,31.23314066,31.23314066,31.23314066
Forest area (% of land area),Curacao,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658
Forest area (% of land area),Cyprus,18.68073593,18.67857143,18.67640693,18.67424242,18.67207792
Forest area (% of land area),Czechia,34.57907007,34.60251263,34.62595519,34.65141732,34.67799193
Forest area (% of land area),Denmark,15.6165,15.64,15.664,15.6875,15.711
Forest area (% of land area),Djibouti,0.241587575,0.242018982,0.243313201,0.245901639,0.250215703
Forest area (% of land area),Dominica,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667
Forest area (% of land area),Dominican Republic,43.71227489,43.87973504,44.0471952,44.93930277,45.10950748
Forest area (% of land area),Ecuador,51.3565389,51.09776131,50.83898373,50.58020615,50.32142857
Forest area (% of land area),"Egypt, Arab Rep.",0.045185594,0.045185594,0.045185594,0.045185594,0.045185594
Forest area (% of land area),El Salvador,29.04826255,28.83108108,28.61389961,28.39671815,28.17953668
Forest area (% of land area),Equatorial Guinea,88.4798574,88.18181818,87.88377897,87.58573975,87.28770053
Forest area (% of land area),Eritrea,8.819973667,8.79432689,8.767757211,8.741453809,8.71821524
Forest area (% of land area),Estonia,55.69933287,57.03859649,57.03859649,57.03859649,57.03859649
Forest area (% of land area),Eswatini,28.64651163,28.71686047,28.7872093,28.85755814,28.92790698
Forest area (% of land area),Ethiopia,15.38289762,15.31829055,15.25348958,15.18867857,15.12398953
Forest area (% of land area),Faroe Islands,0.05730659,0.05730659,0.05730659,0.05730659,0.058565154
Forest area (% of land area),Fiji,60.93596059,61.3015873,61.66721401,62.03284072,62.39846743
Forest area (% of land area),Finland,73.73564542,73.73321927,73.73321927,73.73079327,73.72836744
Forest area (% of land area),France,30.89979673,31.05210964,31.20442255,31.35673546,31.50904837
Forest area (% of land area),French Polynesia,43.05963699,43.05963699,43.05963699,43.05963699,43.05963699
Forest area (% of land area),Gabon,91.50510343,91.45899794,91.41289246,91.36678698,91.32068149
Forest area (% of land area),"Gambia, The",26.24505929,25.67885375,25.11264822,24.54545455,23.97924901
Forest area (% of land area),Georgia,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596
Forest area (% of land area),Germany,32.68548202,32.68454647,32.68361097,32.68267552,32.68267552
Forest area (% of land area),Ghana,34.81691131,35.00061528,35.03234596,35.06407665,35.09693099
Forest area (% of land area),Gibraltar,0,0,0,0,0
Forest area (% of land area),Greece,30.26997673,30.26997673,30.26997673,30.26997673,30.26997673
Forest area (% of land area),Greenland,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997
Forest area (% of land area),Grenada,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353
Forest area (% of land area),Guam,51.85185185,51.85185185,51.85185185,51.85185185,51.85185185
Forest area (% of land area),Guatemala,33.35386338,33.24561404,33.13736469,33.02911534,32.92086599
Forest area (% of land area),Guinea,25.8383526,25.67556568,25.51277877,25.34999186,25.18720495
Forest area (% of land area),Guinea-Bissau,71.61344239,71.31330014,71.01315789,70.71301565,70.4128734
Forest area (% of land area),Guyana,93.73716027,93.69037338,93.64363729,93.59685039,93.5501143
Forest area (% of land area),Haiti,13.05297533,12.94013062,12.82728592,12.71444122,12.60159652
Forest area (% of land area),Honduras,57.58378765,57.39663956,57.20940209,57.02216463,56.83492716
Forest area (% of land area),"Hong Kong SAR, China",..,..,..,..,..
Forest area (% of land area),Hungary,22.55895244,22.5429542,22.5281613,22.51227263,22.49627438
Forest area (% of land area),Iceland,0.485386534,0.492568579,0.496280869,0.502727363,0.509273034
Forest area (% of land area),India,23.91182535,24.00142608,24.09102681,24.18062754,24.27022827
Forest area (% of land area),Indonesia,50.74345453,50.03933382,49.71681778,49.39429641,49.07178037
Forest area (% of land area),"Iran, Islamic Rep.",6.570691815,6.601288136,6.611420647,6.621553159,6.626730354
Forest area (% of land area),Iraq,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184
Forest area (% of land area),Ireland,11.06619248,11.17752939,11.23559297,11.29365655,11.35172013
Forest area (% of land area),Isle of Man,6.070175439,6.070175439,6.070175439,6.070175439,6.070175439
Forest area (% of land area),Israel,6.469500924,6.469500924,6.469500924,6.469500924,6.469500924
Forest area (% of land area),Italy,31.62096998,31.80293388,31.98489777,32.16697045,32.34893496
Forest area (% of land area),Jamaica,53.67867036,54.0378578,54.39704524,54.75530933,55.11449677
Forest area (% of land area),Japan,68.42249657,68.40877915,68.40877915,68.40877915,68.40877915
Forest area (% of land area),Jordan,1.09822032,1.09822032,1.09822032,1.098047165,1.098047165
Forest area (% of land area),Kazakhstan,1.236326258,1.247160796,1.257992073,1.268822462,1.279653295
Forest area (% of land area),Kenya,6.240942475,6.292880486,6.344818498,6.344818498,6.344818498
Forest area (% of land area),Kiribati,1.456790123,1.456790123,1.456790123,1.456790123,1.456790123
Forest area (% of land area),"Korea, Dem. People's Rep.",50.78490159,50.60858733,50.43227307,50.25595881,50.07964455
Forest area (% of land area),"Korea, Rep.",64.87911457,64.78309917,64.67391304,64.51844262,64.41598361
Forest area (% of land area),Kosovo,..,..,..,..,..
Forest area (% of land area),Kuwait,0.350729517,0.350729517,0.350729517,0.350729517,0.350729517
Forest area (% of land area),Kyrgyz Republic,6.549739312,6.572806048,6.667883212,6.762982273,6.858081335
Forest area (% of land area),Lao PDR,72.50216638,72.35268631,72.20320624,72.05372617,71.9042461
Forest area (% of land area),Latvia,54.56329246,54.62548411,54.68767577,54.74986742,54.80941668
Forest area (% of land area),Lebanon,13.77614858,13.83479961,13.89345064,13.95210166,14.01075269
Forest area (% of land area),Lesotho,1.137022398,1.137022398,1.137022398,1.137022398,1.137022398
Forest area (% of land area),Liberia,80.34136213,80.027201,79.71303987,79.39887874,79.08471761
Forest area (% of land area),Libya,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688
Forest area (% of land area),Liechtenstein,41.875,41.875,41.875,41.875,41.875
Forest area (% of land area),Lithuania,34.96056959,35.05691161,35.0950024,35.13254551,35.14851485
Forest area (% of land area),Luxembourg,34.45382721,34.45382721,34.45382721,34.45382721,34.45382721
Forest area (% of land area),"Macao SAR, China",..,..,..,..,..
Forest area (% of land area),Madagascar,21.45527673,21.43255414,21.40983156,21.38712616,21.36440358
Forest area (% of land area),Malawi,25.55897327,25.11349173,24.66801018,24.22252864,23.77704709
Forest area (% of land area),Malaysia,58.78752093,58.63488054,58.48224015,58.32959976,58.17695937
Forest area (% of land area),Maldives,2.733333333,2.733333333,2.733333333,2.733333333,2.733333333
Forest area (% of land area),Mali,10.89666363,10.89666363,10.89666363,10.89666363,10.89666363
Forest area (% of land area),Malta,1.1875,1.3125,1.4375,1.4375,1.4375
Forest area (% of land area),Marshall Islands,52.22222222,52.22222222,52.22222222,52.22222222,52.22222222
Forest area (% of land area),Mauritania,0.324633744,0.319394586,0.314058407,0.308819249,0.30348307
Forest area (% of land area),Mauritius,19.17376064,19.35403105,19.37406109,19.39409114,19.41412118
Forest area (% of land area),Mexico,34.05599424,33.99026724,33.92454024,33.85881839,33.79309139
Forest area (% of land area),"Micronesia, Fed. Sts.",91.85714286,91.9,91.94285714,91.98571429,92.02857143
Forest area (% of land area),Moldova,11.75486618,11.75129219,11.75297169,11.75275726,11.75322187
Forest area (% of land area),Monaco,0,0,0,0,0
Forest area (% of land area),Mongolia,9.103978705,9.103265913,9.102555458,9.101825131,9.099658488
Forest area (% of land area),Montenegro,61.48698885,61.48698885,61.48698885,61.48698885,61.48698885
Forest area (% of land area),Morocco,12.77120771,12.79764732,12.82005378,12.84358055,12.86688326
Forest area (% of land area),Mozambique,47.8500089,47.56809685,47.33610723,47.00794781,46.72519647
Forest area (% of land area),Myanmar,45.50189957,45.06016086,44.61974874,44.17588479,43.73403098
Forest area (% of land area),Namibia,8.408871722,8.322620219,8.236368716,8.150117213,8.06386571
Forest area (% of land area),Nauru,0,0,0,0,0
Forest area (% of land area),Nepal,41.59072201,41.59072201,41.59072201,41.59072201,41.59072201
Forest area (% of land area),Netherlands,10.86308286,10.89100089,10.91862192,10.94653995,10.97416097
Forest area (% of land area),New Caledonia,45.8654267,45.85995624,45.85448578,45.84901532,45.84354486
Forest area (% of land area),New Zealand,37.39603509,37.41160609,37.42793665,37.46731989,37.57012647
Forest area (% of land area),Nicaragua,31.63977065,30.80879176,29.97781286,29.14683397,28.31585508
Forest area (% of land area),Niger,0.891592327,0.881787321,0.871982316,0.862177311,0.852372306
Forest area (% of land area),Nigeria,24.46297957,24.28368304,24.1043842,23.92508537,23.74578653
Forest area (% of land area),North Macedonia,39.71728787,39.71015067,39.71015067,39.71015067,39.71015067
Forest area (% of land area),Northern Mariana Islands,52.95652174,52.95652174,52.95652174,52.95652174,52.95652174
Forest area (% of land area),Norway,33.27109973,33.29453362,33.31726503,33.33990698,33.43535968
Forest area (% of land area),Oman,0.00904685,0.008723748,0.008400646,0.008077544,0.008077544
Forest area (% of land area),Pakistan,5.017953508,4.99418846,4.940561436,4.886934413,4.833307389
Forest area (% of land area),Palau,89.30434783,89.47826087,89.67391304,89.84782609,90.02173913
Forest area (% of land area),Panama,57.46762008,57.3135456,57.11337288,56.95942303,56.80560798
Forest area (% of land area),Papua New Guinea,79.47241973,79.39837919,79.32433865,79.25029811,79.17625756
Forest area (% of land area),Paraguay,43.62730934,42.63848477,41.93538887,41.23231815,40.52922225
Forest area (% of land area),Peru,57.03928125,56.90217188,56.77815625,56.643125,56.50810156
Forest area (% of land area),Philippines,23.64101016,23.75802395,23.87500419,23.99201798,24.10903176
Forest area (% of land area),Poland,30.81420033,30.85339168,30.89460104,30.93985822,30.9770359
Forest area (% of land area),Portugal,36.15499489,36.15499489,36.15499489,36.15499489,36.15499489
Forest area (% of land area),Puerto Rico,55.73506201,55.7903044,55.84554679,55.90078918,55.95603157
Forest area (% of land area),Qatar,0,0,0,0,0
Forest area (% of land area),Romania,30.11582928,30.11582928,30.11582928,30.11582928,30.11582928
Forest area (% of land area),Russian Federation,49.77269955,49.78433608,49.78433608,49.78433608,49.78433608
Forest area (% of land area),Rwanda,11.02553709,11.06607215,11.10660722,11.14714228,11.18767734
Forest area (% of land area),Samoa,57.80565371,58.67266187,58.5,58.32733813,58.15467626
Forest area (% of land area),San Marino,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667
Forest area (% of land area),Sao Tome and Principe,56.64583333,56,55.35416667,54.70833333,54.0625
Forest area (% of land area),Saudi Arabia,0.454484135,0.454484135,0.454484135,0.454484135,0.454484135
Forest area (% of land area),Senegal,42.737028,42.52926817,42.32150834,42.11374851,41.90598868
Forest area (% of land area),Serbia,31.10198948,31.12119826,31.12279899,31.12531443,32.37780949
Forest area (% of land area),Seychelles,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957
Forest area (% of land area),Sierra Leone,36.21224716,35.93890274,35.66555833,35.39221391,35.11886949
Forest area (% of land area),Singapore,22.9696756,22.62640449,22.31092437,21.9972067,21.68523677
Forest area (% of land area),Sint Maarten (Dutch part),10.88235294,10.88235294,10.88235294,10.88235294,10.88235294
Forest area (% of land area),Slovak Republic,40.00353577,40.05615641,40.05615641,40.05615641,40.05615641
Forest area (% of land area),Slovenia,61.85929898,61.7699783,61.67438072,61.57307165,61.47225919
Forest area (% of land area),Solomon Islands,90.24258664,90.21650589,90.19042515,90.16434441,90.13826367
Forest area (% of land area),Somalia,10.02167883,9.899336883,9.776994931,9.654652979,9.532311028
Forest area (% of land area),South Africa,14.17511479,14.14510877,14.11510275,14.08509674,14.05509072
Forest area (% of land area),South Sudan,11.32562151,11.32562151,11.32562151,11.32562151,11.32562151
Forest area (% of land area),Spain,37.14286858,37.15223392,37.15664678,37.16772156,37.17730549
Forest area (% of land area),Sri Lanka,34.34411,34.29305414,34.25804992,34.20671025,34.15809893
Forest area (% of land area),St. Kitts and Nevis,42.30769231,42.30769231,42.30769231,42.30769231,42.30769231
Forest area (% of land area),St. Lucia,34.04918033,34.04918033,34.04918033,34.04918033,34.04918033
Forest area (% of land area),St. Martin (French part),24.8,24.8,24.8,24.8,24.8
Forest area (% of land area),St. Vincent and the Grenadines,73.17948718,73.17948718,73.17948718,73.17948718,73.17948718
Forest area (% of land area),Sudan,10.19710385,10.10494111,10.01277837,9.920615632,9.828452891
Forest area (% of land area),Suriname,97.69435897,97.6475641,97.56910256,97.49057692,97.41211538
Forest area (% of land area),Sweden,68.69449814,68.69449814,68.69449814,68.69906052,68.69907031
Forest area (% of land area),Switzerland,31.77326642,31.8603338,31.94740118,32.03446856,32.12153594
Forest area (% of land area),Syrian Arab Republic,2.843108425,2.843108425,2.843108425,2.843108425,2.843108425
Forest area (% of land area),Tajikistan,3.039123856,3.039123856,3.039123856,3.046328986,3.053534116
Forest area (% of land area),Tanzania,53.76044254,53.23097765,52.70151276,52.17204787,51.64258298
Forest area (% of land area),Thailand,39.18064554,39.11018027,39.03971501,38.96924974,38.89878447
Forest area (% of land area),Timor-Leste,62.3201076,62.24613315,62.13180901,62.03765972,61.94351042
Forest area (% of land area),Togo,22.45100202,22.39658025,22.34215849,22.28773672,22.23331495
Forest area (% of land area),Tonga,12.43055556,12.43055556,12.43055556,12.43055556,12.43055556
Forest area (% of land area),Trinidad and Tobago,44.80896686,44.72709552,44.64522417,44.56335283,44.48148148
Forest area (% of land area),Tunisia,4.483843975,4.49369207,4.503540165,4.51338826,4.523236354
Forest area (% of land area),Turkiye,28.10480361,28.26352923,28.4660941,28.6687889,28.8714837
Forest area (% of land area),Turkmenistan,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045
